#,Day,Month,Year,Plot,Species,Sex,Weight_Value,Weight_Unit,Calibration,Comments
1,16,7,2013,2,DM,F,##,##,##,
2,16,7,2013,7,DM,M,33,g,##,
3,16,7,2013,3,DM,M,##,##,##,
4,16,7,2013,1,DM,M,##,##,##,
5,18,7,2013,3,DM,M,40,g,##,
6,18,7,2013,7,DM,M,48,g,##,
7,18,7,2013,4,DM,F,29,g,##,
8,18,7,2013,4,DM,F,46,g,##,
9,18,7,2013,7,DM,M,36,g,##,
10,18,7,2013,7,DM,F,35,g,##,
11,18,7,2013,8,DM,F,22,g,##,
12,18,7,2013,7,DM,F,42,g,##,
13,18,7,2013,4,DM,F,41,g,##,
14,18,7,2013,6,DM,F,37,g,##,
15,19,8,2013,8,DO,F,52,##,##,
16,17,10,2013,3,DO,F,33,##,##,
17,17,10,2013,3,DO,F,50,##,##,
18,17,10,2013,17,DO,F,48,##,##,
19,17,10,2013,17,DO,F,31,##,##,
20,18,10,2013,8,DO,F,41,##,##,
21,12,11,2013,1,DO,F,44,##,##,
22,12,11,2013,1,DO,M,48,##,##,
23,14,11,2013,8,DO,F,39,##,##,
24,10,12,2013,9,DO,F,40,##,##,
25,10,12,2013,1,DO,M,45,##,##,
26,11,12,2013,8,DO,F,41,##,##,
27,12,11,2013,9,DS,F,117,##,##,
28,12,11,2013,1,DS,F,121,##,##,
29,12,11,2013,20,DS,M,115,##,##,
30,12,11,2013,9,DS,F,120,##,##,
31,13,11,2013,17,DS,F,118,##,##,
32,13,11,2013,11,DS,F,126,##,##,
33,13,11,2013,17,DS,M,132,##,N,
34,13,11,2013,14,DS,F,113,##,N,
35,13,11,2013,11,DS,F,122,##,##,
36,13,11,2013,4,DS,F,107,##,##,
37,13,11,2013,4,DS,F,115,##,##,
38,9,1,2014,1,DM,M,40,##,##,
39,9,1,2014,1,DM,F,36,##,##,
40,9,1,2014,1,DS,F,135,##,##,
41,20,1,2014,1,DM,F,39,##,##,
42,20,1,2014,1,DM,M,43,##,##,
43,20,1,2014,1,DS,F,144,##,##,
44,13,3,2014,1,DM,F,51,##,##,
45,13,3,2014,1,DM,F,44,##,##,
46,13,3,2014,1,DS,F,146,##,##,
47,8,1,2014,2,NA,##,##,##,##,
48,8,1,2014,2,DM,M,44,##,##,
49,8,1,2014,2,DM,M,38,##,##,
50,8,1,2014,2,OL,##,##,##,##,
51,8,1,2014,2,PE,M,22,##,##,
52,8,1,2014,2,DM,M,38,##,##,
53,8,1,2014,2,DM,M,48,##,##,
54,8,1,2014,2,DM,M,43,##,##,
55,8,1,2014,2,DM,F,35,##,##,
56,8,1,2014,2,DM,M,43,##,##,
57,8,1,2014,2,DM,F,37,##,##,
58,8,1,2014,2,PF,F,7,##,##,
59,8,1,2014,2,DM,M,45,##,##,
60,8,1,2014,2,OT,##,##,##,##,
61,8,1,2014,2,DS,M,157,##,N,
62,8,1,2014,2,OX,##,##,##,##,
63,18,2,2014,2,NA,M,218,##,N,
64,18,2,2014,2,PF,F,7,##,##,
65,18,2,2014,2,DM,M,52,##,##,
66,8,1,2014,3,PF,M,7,##,##,
67,18,2,2014,3,OT,M,24,##,##,
68,18,2,2014,3,OT,F,23,##,##,
69,11,3,2014,3,NA,M,232,##,##,
70,11,3,2014,3,OT,F,22,##,##,
71,11,3,2014,3,OT,M,26,##,##,
72,11,3,2014,3,PF,M,8,##,##,
73,8,4,2014,3,NA,F,##,##,##,
74,6,5,2014,3,##,##,##,##,##,
75,18,5,2014,3,NA,F,182,##,##,
76,9,6,2014,3,OT,F,29,##,##,
77,8,7,2014,3,NA,F,115,##,##,
78,8,7,2014,3,NA,M,190,##,##,
79,8,1,2014,4,DM,F,37,##,##,American or English Date Format
80,8,1,2014,4,DS,F,128,##,##,American or English Date Format
81,8,1,2014,4,DM,F,42,##,##,American or English Date Format
82,8,1,2014,4,DM,M,37,##,##,American or English Date Format
83,8,1,2014,4,DM,M,##,##,##,American or English Date Format
84,8,1,2014,4,DM,F,48,##,##,American or English Date Format
85,8,1,2014,4,DM,M,45,##,##,American or English Date Format
86,8,1,2014,4,DM,F,42,##,##,American or English Date Format
87,8,1,2014,4,DO,M,52,##,##,American or English Date Format
88,8,1,2014,4,OL,M,35,##,##,American or English Date Format
